,Name,Address,Rate,Review,Phone,Super Type,Marketing Area,Grade,Subtype,TypeID
0,رستوران سنتی قصر ضیافت,اهواز،نادری،بلوار آيت الله بهبهاني نبش خ حلالي روبروي پارک شهر بازی,3.8,22,061 3222 6611,رستوران,15-AkharAsfalt,B,سنتی,رستوران_سنتی
1,سالن غذاخوری شرکت ملی مناطق نفت خیز جنوب,اهواز،مناطق اداری شرکت نفت،کنارگذر پاسداران,5.0,2,061 3226 3086,رستوران,13-Hasirabad,A,غذاخوری,رستوران_غذاخوری
2,رستوران سنتی شاد نشین,اهواز،نادری،خ. شریعتی،خ. زند,0.0,0,Unknown,رستوران,15-AkharAsfalt,Unrated,سنتی,رستوران_سنتی
3,غذاخوری احلی اللیالی,اهواز،کوی علوی،خ. بنی هاشم،خ. فرهانی,4.0,1,0916 304 5811,فست‌فود,6-Campolo,B,غذاخوری,فست‌فود_غذاخوری
4,رستوران سنتی فرحزاد,اهواز،کیان آباد،خ. کیانپارس،خ. توحید,0.0,0,061 3376 8001,رستوران,1-Kianpars,Unrated,سنتی,رستوران_سنتی
5,کافه رستوران سنتی هوج,اهواز،سید خلف،خ ساحل بین کنارگذر مدرس و عزت دوم,0.0,0,Unknown,رستوران,1-Kianpars,Unrated,سنتی,رستوران_سنتی
6,غذاخوری آذربایجان,اهواز،خیابان 30متری،خ طالقانی،خ علم الهدی،خ اهوازیان,5.0,1,Unknown,رستوران,13-Hasirabad,A,غذاخوری,رستوران_غذاخوری
7,کترینگ لیمو,اهواز کیانپارس نبش ۱۸ غربی کترینگ لیمو,0.0,0,0916 312 9688,تهیه غذا,1-Kianpars,Unrated,نامشخص,تهیه غذا_نامشخص
8,رستوران و آشپزخانه سنتی خانسالار,اهواز،نادری،خ. زند،خ. خوانساری,3.0,2,061 3292 6278,رستوران,15-AkharAsfalt,C,آشپزخانه,رستوران_آشپزخانه
9,رستوران سنتی,اهواز،سید خلف،کنارگذر مدرس,0.0,0,Unknown,رستوران,1-Kianpars,Unrated,سنتی,رستوران_سنتی
10,کافه رستوران سنتی دورهمی,اهواز،کوی عباسپور،بلوار پاسداران،خ. اقبال,0.0,0,0921 620 6112,رستوران,7-Kourosh,Unrated,سنتی,رستوران_سنتی
11,کترینگ سالین,اهواز،کیان آباد،خ هجده متری سوم،خ احداثی,3.0,2,061 3337 1638,رستوران,1-Kianpars,C,تهیه غذا,رستوران_تهیه غذا
12,رستوران سنتی آرزوها,اهواز،امانیه،خ انقلاب،بوستان حجاب,0.0,0,Unknown,رستوران,6-Campolo,Unrated,سنتی,رستوران_سنتی
13,کترینگ و تهیه غذای یامی,اهواز،کوی ملت،بلوار پاسداران،خ. عامری,5.0,1,061 3448 5611,تهیه غذا,7-Kourosh,A,نامشخص,تهیه غذا_نامشخص
14,کافه رستوران سنتی یحیی,اهواز،سید خلف،خ ساحل,5.0,3,0935 480 7745,رستوران,1-Kianpars,A,سنتی,رستوران_سنتی
15,غذاخوری شاطر حسن,اهواز،بیست متری شهرداری،بلوار خادمین سیدالشهدا،خ مجدم,0.0,0,Unknown,رستوران,13-Hasirabad,Unrated,غذاخوری,رستوران_غذاخوری
16,غذاخوری و بیرون بر بابا علی,اهواز،اسلام آباد غربی،بزرگراه بهبهانی،کنارگذر بهبهانی،خ جنت,4.0,1,0916 916 3096,رستوران,15-AkharAsfalt,B,غذاخوری,رستوران_غذاخوری
17,کترینگ سرآشپز افشین,اهواز،بلوار معلم، نرسیده به راهبند ایثار، کترینگ سرآشپز افشین,5.0,1,0913 231 6958,رستوران,8-Bahonar,A,تهیه غذا,رستوران_تهیه غذا
19,رستوران سنتی خانه مادر بزرگ,خوزستان شهرستان دزفول,0.0,0,Unknown,رستوران,11-Naft,Unrated,سنتی,رستوران_سنتی
20,خرید و فروش ظروف غذاخوری,اهواز،آخر آسفالت،بلوار شریعتی جنوبی،خ صبا,0.0,0,Unknown,رستوران,15-AkharAsfalt,Unrated,غذاخوری,رستوران_غذاخوری
21,رستوران سنتی قصر نور,اهواز،کوی ملی راه،بلوار توحید،خ. خلف کعبی,0.0,0,0937 633 9423,رستوران,2-Zeytoon Karmandi,Unrated,سنتی,رستوران_سنتی
22,کترینگ مظفریه,اهواز،زیتون کارمندی،کنارگذر پاسداران،خ زمرد,4.0,1,061 3442 9094,تهیه غذا,2-Zeytoon Karmandi,B,نامشخص,تهیه غذا_نامشخص
23,رستوران کترینگ ماهر,اهواز،دانشگاه چمران،بلوار گلستان،خ بهمن,5.0,1,061 3320 1444,فست‌فود,3-Golestan_Uni,A,تهیه غذا,فست‌فود_تهیه غذا
24,رستوران سنتی لبخند,اهواز،کیانپارس،خ. سیزدهم شرقی,0.0,0,0916 617 3279,رستوران,1-Kianpars,Unrated,سنتی,رستوران_سنتی
25,کترینگ و تالار یاقوت,اهواز،کوی نفت،خ ارشاد،خ بیست و شش,0.0,0,061 3441 3235,فست‌فود,11-Naft,Unrated,تهیه غذا,فست‌فود_تهیه غذا
26,رستوران سنتی اصیل,اهواز،کمپلو،خ انقلاب،خ قصرشیرین،نبش خ آزادی,0.0,0,061 3377 6666,رستوران,6-Campolo,Unrated,سنتی,رستوران_سنتی
27,کافه رستوران سنتی سورین,اهواز،نادری،خ شریعتی،خ صدرالسادات،خ مسلم,0.0,0,061 3221 4802,کافه,15-AkharAsfalt,Unrated,رستوران,کافه_رستوران
28,کترینگ و فست فود ارفع,اهواز،کمپلو،خ شهید پورکیان,0.0,0,0916 533 5034,فست‌فود,6-Campolo,Unrated,تهیه غذا,فست‌فود_تهیه غذا
29,کافه رستوران سنتی خاقان,اهواز،کوی نهضت،خ. لشکر آباد،خ. گلستان,0.0,0,061 3333 7671,رستوران,6-Campolo,Unrated,سنتی,رستوران_سنتی
31,رستوران سنتی گلستان,اهواز،گلستان،بلوار گلستان بین اقبال و اسفند,0.0,0,0938 928 9117,کافه رستوران,3-Golestan_Uni,Unrated,سنتی,کافه رستوران_سنتی
32,کترینگ نون و نمک,اهواز،کیان آباد،خ. هجده متری چهارم،خ. وهابی، بین ۷ و ۸ کیان آباد,5.0,3,061 3338 4006,تهیه غذا,1-Kianpars,A,نامشخص,تهیه غذا_نامشخص
33,کترینگ روز,اهواز،رسالت،خ رسالت یکم بین احسان و بلوار دماوند,0.0,0,061 3227 5641,تهیه غذا,8-Bahonar,Unrated,نامشخص,تهیه غذا_نامشخص
34,کترینگ هایسال,اهواز،دانشگاه چمران،بلوار گلستان بین آذر و دی,0.0,0,0904 424 9973,تهیه غذا,3-Golestan_Uni,Unrated,نامشخص,تهیه غذا_نامشخص
35,سالن غذاخوری شهرک نفت,اهواز،شهرک نفت،خ مهر فرعی،مجتمع فرهنگی ورزشی امام رضا,1.0,1,061 3416 3150,رستوران,11-Naft,C,غذاخوری,رستوران_غذاخوری
36,رستوران سنتی مهربان و مهر بانو,اهواز،گلستان،بلوار کارگر شرقی،خ اقبال،خ تاراز,0.0,0,0916 919 2367,رستوران,3-Golestan_Uni,Unrated,سنتی,رستوران_سنتی
37,سالن پذیرایی بین الملل,اهواز،اسلام آباد شرقی،کنارگذر بهبهانی,5.0,1,Unknown,تالار پذیرایی,4-Padad,A,نامشخص,تالار پذیرایی_نامشخص
38,کترینگ و آشپزخانه لمزی اهواز,اهواز،سعدی،بلوار گلستان,3.0,2,0916 309 7289,تهیه غذا,3-Golestan_Uni,C,نامشخص,تهیه غذا_نامشخص
39,رستوران و کترینگ کوچه باغ,اهواز،کیانپارس،خ کیانپارس بین مطهری شرقی و سروش شرقی,3.0,1,061 3392 4616,رستوران,1-Kianpars,C,تهیه غذا,رستوران_تهیه غذا
40,کترینگ سور,اهواز،گلستان،بلوار کارگر شرقی،خ دی,0.0,0,061 3321 3109,تهیه غذا,3-Golestan_Uni,Unrated,نامشخص,تهیه غذا_نامشخص
41,"تهیه غذای شهر , غذای بیرون بر شهر , کترینگ شهر",اهواز،کیان آباد،خ اروند،خ هجده متری پنجم,0.0,0,061 3337 5444,کافه,1-Kianpars,Unrated,تهیه غذا,کافه_تهیه غذا
42,کترینگ دورچین,اهواز،زیتون کارمندی، خیابان زیتون کارمندی، بین فیاض و بوعلی,0.0,0,061 3445 6461,کافه,2-Zeytoon Karmandi,Unrated,تهیه غذا,کافه_تهیه غذا
43,رستوران سنتی دیلمی,اهواز،منبع آب،خ بیست متری شهرداری،خ یازدهم,4.5,2,Unknown,رستوران,13-Hasirabad,B,سنتی,رستوران_سنتی
45,رستوران ایرانی فرهنگیان,اهواز،کوی فرهنگیان 1،کوی فرهنگیان،خ گلایل،خ ناز,0.0,0,0905 500 1220,رستوران,14-Airport,Unrated,ایرانی,رستوران_ایرانی
46,کترینگ نارنج,اهواز،کیان آباد،خ اروند،خ بیست و یکم غربی,0.0,0,061 3338 8694,تهیه غذا,1-Kianpars,Unrated,نامشخص,تهیه غذا_نامشخص
47,کترینگ محی,اهواز،کوی ملت،بلوار پاسداران،خ. اقبال,4.0,1,061 3447 9005,تهیه غذا,7-Kourosh,B,نامشخص,تهیه غذا_نامشخص
48,رستوران سنتی زیتون,اهواز،زیتون کارمندی،کنارگذر پاسداران،خ زمرد،خ فاطمی,0.0,0,Unknown,رستوران,2-Zeytoon Karmandi,Unrated,سنتی,رستوران_سنتی
